numero_amostra,timestamp,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,1337008,2276,236,17368,-901,898,243
2,1337035,2540,-8,17100,-274,1122,44
3,1337091,2244,196,16844,-20,1060,23
4,1337148,2308,188,16844,-254,977,82
5,1337206,2308,124,16736,-209,971,33
6,1337281,2192,256,16856,-160,1002,75
7,1337339,2388,136,16912,-158,1005,59
8,1337396,2168,224,16856,-252,953,93
9,1337481,2236,220,16824,-162,1016,72
10,1337539,2116,-424,16492,-294,1619,-471
11,1337597,2432,644,17212,-426,1058,173
12,1337682,2188,256,16984,-21,1023,78
13,1337735,2276,208,16852,-207,938,85
14,1337793,2156,292,16868,-16,1118,47
15,1337850,2316,308,16856,-218,993,70
16,1337906,2192,200,16828,-159,969,73
17,1337963,2176,344,16768,-149,1019,42
18,1338021,2228,208,16920,393,1253,-28
19,1338096,2192,228,17084,703,1018,-27
20,1338154,2208,80,16880,-301,1245,64
21,1338211,1796,148,16600,-1238,1513,-652
22,1338296,2100,160,17076,-1701,1026,202
23,1338354,1696,-1492,16420,-1874,968,-3471
24,1338412,2464,-524,17132,-1275,423,1098
25,1338497,2164,-964,16604,-821,-478,1937
26,1338550,2768,-668,16984,3352,61,1965
27,1338608,2480,688,17144,3899,-422,-1012
28,1338666,2704,-60,16836,1509,1027,-1710
29,1338721,2472,692,16800,92,303,-472
30,1338778,3852,660,17552,-3472,2091,-289
31,1338836,2472,116,16076,-409,127,-2642
32,1338911,3344,824,16612,2976,2308,-2769
33,1338969,2988,56,16452,-1908,711,-848
34,1339026,2836,292,16536,-250,2116,-721
35,1339081,3220,208,16772,-270,2892,-1158
36,1339136,3068,-360,16872,1479,1346,-2215
37,1339194,2568,476,16496,1774,2804,-3627
38,1339247,1992,1164,16908,840,2709,-1913
39,1339322,1984,1344,16700,-242,1872,-3226
40,1339380,2196,1140,17288,1310,2180,-2008
41,1339438,1268,1564,16844,3244,1553,-2701
42,1339523,984,1848,15940,1230,1290,-1102
43,1339580,1304,2112,16828,1854,1806,-1775
44,1339638,1308,2252,16916,876,1700,-1306
45,1339723,1076,2784,16484,492,1704,-674
46,1339781,1236,2736,16800,375,1070,-818
47,1339838,1292,2364,16700,1791,1283,-1531
48,1339924,784,3592,16836,864,1619,-1388
49,1339981,584,3684,16888,1299,1613,-1364
50,1340039,788,3408,17068,2041,1642,-760
51,1340092,356,3288,16784,1124,836,175
52,1340147,132,3792,16308,262,1137,1191
53,1340205,-16,3940,15688,1409,2271,1247
